,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
8215,004754.OF,广发汇祥一年A,广发基金,中国工商银行,债券型,20170627,20180904,,20170612,,9.3104,0.7,0.2,,1.0,0.001,,中债综合财富(总值)指数收益率*90%+银行1年期定期存款利率(税后)*10%,D,债券型,契约型开放式,,20180628,20180628,O
8216,001596.OF,信诚新泽回报A,中信保诚基金,华夏银行,混合型,20170627,,,20170324,,0.3316,0.6,0.1,,1.0,0.01,,一年期银行定期存款利率(税后)+3%,L,灵活配置型,契约型开放式,,20170713,20170713,O
8217,002177.OF,信诚新泽回报B,中信保诚基金,华夏银行,混合型,20170627,,,20170324,,2.0723,0.6,0.1,,1.0,0.01,,一年期银行定期存款利率(税后)+3%,L,灵活配置型,契约型开放式,,20170713,20170713,O
8218,004492.OF,信诚至信,中信保诚基金,中国工商银行,混合型,20170627,20171219,,20170328,,2.0,1.5,0.25,,1.0,0.001,,中证综合债指数收益率*70%+沪深300指数收益率*30%,D,灵活配置型,契约型开放式,,20170628,20170628,O
8219,004841.OF,博时合惠A,博时基金,中国民生银行,货币市场型,20170626,,,,,,0.15,0.05,,1.0,,,活期存款利率(税后),L,货币型,契约型开放式,,20170626,20170626,O
8220,0048391.OF,银华双月定期理财C,银华基金,中国农业银行,货币市场型,20170626,20201214,,,,,0.3,0.08,,1.0,,,七天通知存款利率(税后),D,货币型,契约型开放式,,20170626,20170828,O
8221,004783.OF,中融量化智选C,中融基金,中国工商银行,混合型,20170626,,,,,,1.5,0.25,,1.0,,,中证500指数收益率*80%+中证综合债指数收益率*20%,L,混合型,契约型开放式,,20170626,20170626,O
8222,004785.OF,中融量化多因子C,中融基金,中国银河,混合型,20170626,20191229,,,,,1.5,0.15,,1.0,,,中证500指数收益率*95%+同期银行活期存款利率(税后)*5%,D,混合型,契约型开放式,,20170626,20170626,O
8223,001818.OF,易方达瑞兴E,易方达基金,兴业银行,混合型,20170623,,,20170620,,4.4015,0.6,0.1,,1.0,0.001,,中债新综合指数(财富)收益率*75%+沪深300指数收益率*25%,L,灵活配置型,契约型开放式,,20170818,20170818,O
8224,001817.OF,易方达瑞兴I,易方达基金,兴业银行,混合型,20170623,,,20170620,,0.1017,0.6,0.1,,1.0,0.001,,中债新综合指数(财富)收益率*75%+沪深300指数收益率*25%,L,灵活配置型,契约型开放式,,20170818,20170818,O
8225,004722.OF,中银丰和定期开放,中银基金,中国建设银行,债券型,20170623,,,20170531,,60.1,0.3,0.1,,1.0,,,中债综合全价(总值)指数,L,债券型,契约型开放式,,20170925,20170925,O
8226,004656.OF,汇添富鑫汇C,汇添富基金,兴业银行,债券型,20170623,,,20170523,,0.0035,0.3,0.1,,1.0,0.001,,中债综合指数收益率,L,债券型,契约型开放式,,20171225,20171225,O
8227,168501.OF,北信瑞丰产业升级,北信瑞丰基金,中国工商银行,混合型,20170623,,,20170425,,2.1939,1.5,0.25,,1.0,0.1,,沪深300指数收益率*70%+中证综合债指数收益率*30%,L,混合型,契约型开放式,,20180110,20171212,O
8228,004655.OF,汇添富鑫汇A,汇添富基金,兴业银行,债券型,20170623,,,20170523,,5.0038,0.3,0.1,,1.0,0.001,,中债综合指数收益率,L,债券型,契约型开放式,,20171225,20171225,O
8229,003722.OF,易方达纳斯达克100美元现汇A,易方达基金,中国建设银行,股票型,20170623,,,20170424,,0.0536,0.8,0.25,,0.1471,0.01,,纳斯达克100指数收益率(使用估值汇率折算)*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170714,20170714,O
8230,320015.OF,诺安行业轮动,诺安基金,招商银行,混合型,20170623,,,20170623,,,1.5,0.25,,1.0,,,沪深300指数收益率*60%+中证全债指数收益率*40%,L,混合型,契约型开放式,,20170628,20170628,O
8231,003061.OF,中融睿丰一年C,中融基金,中国邮政储蓄银行,债券型,20170622,20180628,,20170410,,0.0001,0.5,0.1,,1.0,0.01,,中债综合财富指数收益率,D,债券型,契约型开放式,,20180622,20180622,O
8232,003060.OF,中融睿丰一年A,中融基金,中国邮政储蓄银行,债券型,20170622,20180628,,20170410,,2.5004,0.5,0.1,,1.0,0.01,,中债综合财富指数收益率,D,债券型,契约型开放式,,20180622,20180622,O
8233,003996.OF,银华中债AAA信用债C,银华基金,中国工商银行,债券型,20170621,20200616,,20170519,,1.0051,0.26,0.08,,1.0,0.001,,中债-银华AAA信用债指数收益率*95%+银行活期存款利率(税后)*5%,D,被动指数型,契约型开放式,,20170724,20170724,O
8234,003995.OF,银华中债AAA信用债A,银华基金,中国工商银行,债券型,20170621,20200616,,20170519,,1.0001,0.26,0.08,,1.0,0.001,,中债-银华AAA信用债指数收益率*95%+银行活期存款利率(税后)*5%,D,被动指数型,契约型开放式,,20170724,20170724,O
8235,004748.OF,天弘策略精选C,天弘基金,招商证券,混合型,20170621,,,20170605,,0.0711,0.6,0.1,,1.0,0.0001,,沪深300指数收益率*50%+中证综合债指数收益率*50%,L,灵活配置型,契约型开放式,,20170628,20170628,O
8236,004723.OF,中银丰实定期开放,中银基金,兴业银行,债券型,20170621,,,20170613,,100.1,0.3,0.1,,1.0,,,中债综合全价(总值)指数,L,债券型,契约型开放式,,20170921,20170921,O
8237,004486.OF,嘉实稳怡,嘉实基金,招商银行,债券型,20170621,,,20170328,,2.4572,0.6,0.1,,1.0,0.0001,,中债总全价指数收益率,L,债券型,契约型开放式,,20170724,20170724,O
8238,004425.OF,德邦锐祺A,德邦基金,中国民生银行,债券型,20170621,20170918,,20170316,,0.0015,0.7,0.2,,1.0,0.01,,中债综合全价指数收益率*80%+沪深300指数收益率*20%,D,债券型,契约型开放式,,20170623,20170623,O
8239,004426.OF,德邦锐祺C,德邦基金,中国民生银行,债券型,20170621,20170918,,20170316,,2.0424,0.7,0.2,,1.0,0.01,,中债综合全价指数收益率*80%+沪深300指数收益率*20%,D,债券型,契约型开放式,,20170623,20170623,O
8240,001965.OF,圆信永丰兴源A,圆信永丰基金,兴业银行,混合型,20170621,,,20170531,,9.3739,0.6,0.2,,1.0,0.01,,沪深300指数收益率*65%+上证国债指数收益率*35%,L,灵活配置型,契约型开放式,,20170821,20170821,O
8241,004489.OF,鹏华量化策略,鹏华基金,中国建设银行,混合型,20170621,20190528,,20170518,,3.1935,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+中证全债指数收益率*50%,D,灵活配置型,契约型开放式,,20170629,20170629,O
8242,001966.OF,圆信永丰兴源C,圆信永丰基金,兴业银行,混合型,20170621,,,20170531,,1.32,0.6,0.2,,1.0,100.0,,沪深300指数收益率*65%+上证国债指数收益率*35%,L,灵活配置型,契约型开放式,,20170821,20170821,O
8243,004694.OF,天弘策略精选A,天弘基金,招商证券,混合型,20170621,,,20170605,,0.081,0.6,0.1,,1.0,0.0001,,沪深300指数收益率*50%+中证综合债指数收益率*50%,L,灵活配置型,契约型开放式,,20170628,20170628,O
8244,003657.OF,民生加银鑫元纯债C,民生加银基金,中国邮政储蓄银行,债券型,20170621,,,20170320,,0.0003,0.3,0.1,,1.0,0.01,,中国债券综合指数收益率,L,债券型,契约型开放式,,20170626,20170626,O
8245,001807.OF,易方达瑞智E,易方达基金,平安银行,混合型,20170621,,,20170616,,4.402,0.6,0.1,,1.0,0.001,,中债新综合指数(财富)收益率*75%+沪深300指数收益率*25%,L,灵活配置型,契约型开放式,,20170818,20170818,O
8246,001806.OF,易方达瑞智I,易方达基金,平安银行,混合型,20170621,,,20170616,,0.1014,0.6,0.1,,1.0,0.001,,中债新综合指数(财富)收益率*75%+沪深300指数收益率*25%,L,灵活配置型,契约型开放式,,20170818,20170818,O
8247,003656.OF,民生加银鑫元纯债A,民生加银基金,中国邮政储蓄银行,债券型,20170621,,,20170320,,2.0,0.3,0.1,,1.0,0.01,,中国债券综合指数收益率,L,债券型,契约型开放式,,20170626,20170626,O
8248,001576.OF,国泰智能装备A,国泰基金,中国银行,股票型,20170621,,,20170428,,8.4338,1.5,0.25,,1.0,0.01,,中证高端装备制造指数收益率*80%+中证综合债指数收益率*20%,L,股票型,契约型开放式,,20170719,20170719,O
8249,002861.OF,工银瑞信智能制造,工银瑞信基金,中国建设银行,股票型,20170621,,,20170424,,3.8374,1.5,0.25,,1.0,0.001,,中证700指数收益率*80%+中债综合财富(总值)指数收益率*20%,L,股票型,契约型开放式,,20170714,20170714,O
8250,167004.OF,平安鼎沣,平安基金,中国建设银行,债券型,20170620,20180725,,20170313,,2.1786,0.3,0.1,,1.0,0.001,,中债综合指数(总财富)收益率*90%+1年期定期存款利率(税后)*10%,D,债券型,契约型开放式,,20180326,20180326,O
8251,004664.OF,国富日鑫月益30天B,国海富兰克林基金,中国银行,货币市场型,20170619,20201013,,20170612,,6.2702,0.28,0.08,,1.0,500.0,,七天通知存款利率(税后),D,货币型,契约型开放式,,20170718,20170719,O
8252,0043561.OF,嘉实6个月理财E,嘉实基金,中国银行,货币市场型,20170619,20190904,,20170417,,5.1004,0.2,0.08,,1.0,0.0001,,,D,货币型,契约型开放式,,,20171219,O
8253,004663.OF,国富日鑫月益30天A,国海富兰克林基金,中国银行,货币市场型,20170619,20201013,,20170612,,9.3237,0.28,0.08,,1.0,0.01,,七天通知存款利率(税后),D,货币型,契约型开放式,,20170718,20170719,O
8254,0038791.OF,嘉实6个月理财A,嘉实基金,中国银行,货币市场型,20170619,20190904,,20170417,,10.512,0.2,0.08,,1.0,0.0001,,,D,货币型,契约型开放式,,,20171219,O
8255,0046671.OF,招商招财通A,招商基金,中国银行,货币市场型,20170619,20181010,,20170531,,24.1391,0.27,0.08,,1.0,0.0001,,每个封闭期同期对应的三个月期定期存款利率(税后)*1.1,D,货币型,契约型开放式,,20170920,20170920,O
8256,003193.OF,创金合信尊智纯债,创金合信基金,招商银行,债券型,20170616,,,20170609,,2.5011,0.3,0.1,,1.0,0.001,,中债综合(全价)指数收益率,L,债券型,契约型开放式,,20170621,20170621,O
8257,003934.OF,银华10年期地方债A,银华基金,中国工商银行,债券型,20170616,20191128,,20170512,,1.0005,0.26,0.08,,1.0,0.001,,中证10年期地方政府债指数收益率*95%+银行活期存款利率(税后)*5%,D,被动指数型,契约型开放式,,20170720,20170720,O
8258,004626.OF,南方高元C,南方基金,平安银行,债券型,20170616,20200616,,20170519,,0.58,0.5,0.1,,1.0,0.1,,中债综合指数收益率*90%+沪深300指数收益率*10%,D,债券型,契约型开放式,,20170901,20170718,O
8259,673120.OF,西部利得新富,西部利得基金,中国银河,混合型,20170616,,,20170525,,2.0803,1.5,0.1,,1.0,0.001,,沪深300指数收益率*50%+中证全债指数收益率*50%,L,灵活配置型,契约型开放式,,20170829,20170829,O
8260,165531.OF,信诚多策略,中信保诚基金,中国工商银行,混合型,20170616,,,20170411,,2.682,1.5,0.25,,1.0,0.01,,沪深300指数收益率*50%+中证综合债指数收益率*50%,L,灵活配置型,契约型开放式,,20171110,20171011,O
8261,001649.OF,工银瑞信工业4.0,工银瑞信基金,中国建设银行,股票型,20170616,20181217,,20170417,,2.3443,1.5,0.25,,1.0,0.001,,中证700指数收益率*80%+中债综合财富(总值)指数收益率*20%,D,股票型,契约型开放式,,20170707,20170707,O
8262,004776.OF,鹏华金元宝,鹏华基金,中国建设银行,货币市场型,20170616,,,20170606,,35.6518,0.15,0.05,,1.0,,,活期存款利率(税后),L,货币型,契约型开放式,,20170619,20170712,O
8263,003616.OF,招商招熹纯债A,招商基金,中国建设银行,债券型,20170616,20171018,,20170314,,0.0725,0.3,0.1,,1.0,0.0001,,中债综合指数收益率,D,债券型,契约型开放式,,20170718,20170718,O
8264,000792.OF,招商定期宝六个月,招商基金,中国民生银行,债券型,20170616,,,20170613,,10.0002,0.27,0.08,,1.0,0.0001,,每个封闭期同期对应的六个月期定期存款利率(税后)*1.1,L,债券型,契约型开放式,,20171219,20171219,O
8265,003617.OF,招商招熹纯债C,招商基金,中国建设银行,债券型,20170616,20171018,,20170314,,2.3914,0.3,0.1,,1.0,0.0001,,中债综合指数收益率,D,债券型,契约型开放式,,20170718,20170718,O
8266,004625.OF,南方高元A,南方基金,平安银行,债券型,20170616,20200616,,20170519,,0.4,0.5,0.1,,1.0,0.1,,中债综合指数收益率*90%+沪深300指数收益率*10%,D,债券型,契约型开放式,,20170901,20170718,O
8267,001732.OF,广发百发大数据策略价值E,广发基金,兴业银行,混合型,20170616,,,20170503,,1.2231,1.0,0.1,,1.0,0.001,,沪深300指数收益率*50%+中证全债指数收益率*50%,L,灵活配置型,契约型开放式,,20170710,20170710,O
8268,001731.OF,广发百发大数据策略价值A,广发基金,兴业银行,混合型,20170616,,,20170503,,1.9345,1.0,0.1,,1.0,0.001,,沪深300指数收益率*50%+中证全债指数收益率*50%,L,灵活配置型,契约型开放式,,20170710,20170710,O
8269,003935.OF,银华10年期地方债C,银华基金,中国工商银行,债券型,20170616,20191128,,20170512,,1.0051,0.26,0.08,,1.0,0.001,,中证10年期地方政府债指数收益率*95%+银行活期存款利率(税后)*5%,D,被动指数型,契约型开放式,,20170720,20170720,O
8270,001579.OF,国泰大农业,国泰基金,中国建设银行,股票型,20170615,,,20170331,,2.0432,1.5,0.25,,1.0,0.01,,中证大农业指数收益率*80%+中证综合债指数收益率*20%,L,股票型,契约型开放式,,20170717,20170717,O
8271,0008331.OF,易方达掌柜季季盈A,易方达基金,兴业银行,货币市场型,20170615,20201227,,20170613,,13.7279,0.2,0.05,,1.0,0.0001,,中国人民银行公布的三个月银行定期整存整取存款利率(税后),D,货币型,契约型开放式,,20170619,20170915,O
8272,004456.OF,兴银消费新趋势,兴银基金,平安银行,混合型,20170615,,,20170310,,2.4495,1.5,0.25,,1.0,0.01,,沪深300指数收益率*60%+中证综合债指数收益率*40%,L,灵活配置型,契约型开放式,,20170717,20170717,O
8273,004443.OF,南方荣知定期开放A,南方基金,中国工商银行,混合型,20170615,20191016,,20170516,,0.845,0.6,0.15,,1.0,0.1,,中债综合指数收益率*85%+沪深300指数收益率*15%,D,混合型,契约型开放式,,20180615,20180615,O
8274,004340.OF,泰康兴泰回报沪港深,泰康资产,招商银行,混合型,20170615,,,20170515,,5.2188,1.2,0.2,,1.0,0.1,,中债新综合财富(总值)指数收益率*75%+沪深300指数收益率*20%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,20170911,20170911,O
8275,004614.OF,鹏扬利泽A,鹏扬基金,中国工商银行,债券型,20170615,,,20170515,,16.1402,0.4,0.14,,1.0,0.1,,中债总财富(1-3年)指数收益率,L,债券型,契约型开放式,,20170717,20170717,O
8276,004444.OF,南方荣知定期开放C,南方基金,中国工商银行,混合型,20170615,20191016,,20170516,,2.4831,0.6,0.15,,1.0,0.1,,中债综合指数收益率*85%+沪深300指数收益率*15%,D,混合型,契约型开放式,,20180615,20180615,O
8277,004615.OF,鹏扬利泽C,鹏扬基金,中国工商银行,债券型,20170615,,,20170515,,1.762,0.4,0.14,,1.0,0.1,,中债总财富(1-3年)指数收益率,L,债券型,契约型开放式,,20170717,20170717,O
8278,004054.OF,华夏鼎实A,华夏基金,交通银行,债券型,20170615,20180314,,20170314,,0.0158,0.3,0.1,,1.0,0.001,,中债综合指数收益率,D,债券型,契约型开放式,,20170621,20170621,O
8279,004055.OF,华夏鼎实C,华夏基金,交通银行,债券型,20170615,20180314,,20170314,,2.0437,0.3,0.1,,1.0,0.001,,中债综合指数收益率,D,债券型,契约型开放式,,20170621,20170621,O
8280,004517.OF,南方安康,南方基金,中国农业银行,混合型,20170614,,,20170515,,4.401,1.0,0.2,,1.0,0.1,,上证国债指数收益率*85%+沪深300指数收益率*15%,L,混合型,契约型开放式,,20170810,20170810,O
8281,004544.OF,嘉实稳华纯债A,嘉实基金,招商银行,债券型,20170614,,,20170411,,3.4707,0.3,0.1,,1.0,0.0001,,中债总全价指数收益率,L,债券型,契约型开放式,,20170913,20170913,O
8282,004593.OF,广发中证全指工业ETF联接A,广发基金,中国银行,股票型,20170613,20200615,,20170503,,0.2099,0.5,0.1,,1.0,0.001,,中证全指工业指数收益率*95%+银行活期存款利率(税后)*5%,D,被动指数型,契约型开放式,,20170713,20170713,O
8283,002298.OF,招商招福宝A,招商基金,中信银行,货币市场型,20170613,,,20170606,,1.2838,0.15,0.05,,1.0,0.0001,,人民币活期存款基准利率(税后),L,货币型,契约型开放式,,20170615,20170622,O
8284,004029.OF,嘉实稳康纯债,嘉实基金,中国邮政储蓄银行,债券型,20170613,20171019,,20170327,,2.0018,0.3,0.1,,1.0,0.0001,,中债总全价指数收益率,D,债券型,契约型开放式,,20170713,20170713,O
8285,002299.OF,招商招福宝B,招商基金,中信银行,货币市场型,20170613,,,20170606,,0.8031,0.15,0.05,,1.0,500.0,,人民币活期存款基准利率(税后),L,货币型,契约型开放式,,20170615,20170622,O
8286,004474.OF,前海开源尊享B,前海开源基金,中国建设银行,货币市场型,20170612,20190820,,20170313,,2.0,0.33,0.1,,100.0,500.0,,同期七天通知存款利率(税后),D,货币型,契约型开放式,,20170613,20170613,O
8287,004629.OF,国寿安保安瑞纯债,国寿安保基金,交通银行,债券型,20170612,,,20170523,,2.2201,0.3,0.1,,1.0,0.001,,中债综合(全价)指数收益率,L,债券型,契约型开放式,,20170911,20170911,O
8288,004473.OF,前海开源尊享A,前海开源基金,中国建设银行,货币市场型,20170612,20190820,,20170313,,0.0003,0.33,0.1,,100.0,0.01,,同期七天通知存款利率(税后),D,货币型,契约型开放式,,20170613,20170613,O
8289,003931.OF,工银瑞信丰实,工银瑞信基金,中国光大银行,债券型,20170612,20200910,,20170511,,2.0627,0.3,0.1,,1.0,0.001,,中债综合财富(总值)指数收益率,D,债券型,契约型开放式,,20200612,20200612,O
8290,001266.OF,国投瑞银招财,国投瑞银基金,中国银行,混合型,20170610,,,20170610,,,1.5,0.25,,1.0,,,沪深300指数收益率*60%+中债综合指数收益率*40%,L,灵活配置型,契约型开放式,,20170612,20170612,O
8291,004183.OF,富国产业升级A,富国基金,中国建设银行,混合型,20170609,,,20170508,,3.5117,1.5,0.25,,1.0,0.01,,沪深300指数收益率*80%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20170714,20170714,O
8292,003897.OF,金元顺安桉泰,金元顺安基金,兴业银行,债券型,20170609,20181205,,20170502,,2.5005,0.3,0.1,,1.0,0.001,,中债综合指数收益率*80%+沪深300指数收益率*20%,D,债券型,契约型开放式,,20170719,20170719,O
8293,004119.OF,广发创新驱动,广发基金,中国工商银行,混合型,20170609,,,20170320,,10.8652,1.5,0.25,,1.0,0.001,,中证800指数收益率*65%+中证全债指数收益率*35%,L,灵活配置型,契约型开放式,,20170710,20170710,O
8294,001656.OF,农银汇理中国优势,农银汇理基金,中国工商银行,混合型,20170608,,,20170424,,2.6573,1.5,0.2,,1.0,0.001,,沪深300指数*65%+中证全债指数*35%,L,灵活配置型,契约型开放式,,20170710,20170710,O
8295,004701.OF,鹏华盈余宝B,鹏华基金,中国建设银行,货币市场型,20170608,,,20170523,,4.2741,0.2,0.05,,1.0,500.0,,活期存款利率(税后),L,货币型,契约型开放式,,20170612,20170616,O
8296,004591.OF,鹏华丰玺,鹏华基金,中国民生银行,债券型,20170608,20180327,,20170424,,2.4001,0.3,0.1,,1.0,0.001,,中债总指数收益率,D,债券型,契约型开放式,,20170615,20170615,O
8297,004498.OF,鹏华丰源,鹏华基金,招商银行,债券型,20170608,,,20170320,,2.3952,0.3,0.1,,1.0,0.001,,中债总指数收益率,L,债券型,契约型开放式,,20170615,20170615,O
8298,001707.OF,诺安高端制造,诺安基金,中国农业银行,股票型,20170608,,,20170502,,3.5182,1.5,0.25,,1.0,0.1,,沪深300指数*80%+中证全债指数*20%,L,股票型,契约型开放式,,20170714,20170714,O
8299,001532.OF,华安文体健康主题A,华安基金,中国银行,混合型,20170608,,,20170508,,4.7368,1.5,0.25,,1.0,0.0001,,中证800指数收益率*50%+中国债券总指数收益率*50%,L,灵活配置型,契约型开放式,,20170710,20170710,O
8300,004223.OF,金信多策略精选,金信基金,广州农商银行,混合型,20170608,,,20170327,,2.0011,1.5,0.15,,1.0,0.0001,,沪深300指数收益率*55%+上证国债指数收益率*45%,L,灵活配置型,契约型开放式,,20170623,20170623,O
8301,004684.OF,鹏华盈余宝A,鹏华基金,中国建设银行,货币市场型,20170608,,,20170523,,5.5245,0.2,0.05,,1.0,0.0001,,活期存款利率(税后),L,货币型,契约型开放式,,20170612,20170616,O
8302,004465.OF,万家玖盛9个月C,万家基金,广发银行,债券型,20170607,,,20170310,,0.0001,0.3,0.1,,1.0,0.001,,中债综合全价指数收益率*80%+一年期银行定期存款利率(税后)*20%,L,债券型,契约型开放式,,20180308,20180308,O
8303,004464.OF,万家玖盛9个月A,万家基金,广发银行,债券型,20170607,,,20170310,,3.0003,0.3,0.1,,1.0,0.001,,中债综合全价指数收益率*80%+一年期银行定期存款利率(税后)*20%,L,债券型,契约型开放式,,20180308,20180308,O
8304,003518.OF,万家鑫瑞A,万家基金,兴业银行,债券型,20170607,,,20170303,,0.0,0.3,0.1,,1.0,,,中证全债指数收益率,L,债券型,契约型开放式,,20170713,20170713,O
8305,003519.OF,万家鑫瑞E,万家基金,兴业银行,债券型,20170607,,,20170303,,2.5004,0.3,0.1,,1.0,,,中证全债指数收益率,L,债券型,契约型开放式,,20170713,20170713,O
8306,004634.OF,前海联合泳涛A,新疆前海联合基金,招商证券,混合型,20170607,,,20170531,,2.1152,0.6,0.1,,1.0,0.0001,,沪深300指数收益率*50%+中债综合全价指数收益率*50%,L,灵活配置型,契约型开放式,,20170615,20170615,O
8307,003834.OF,华夏能源革新A,华夏基金,中国建设银行,股票型,20170607,,,20170504,,14.8223,1.5,0.25,,1.0,0.001,,中证内地新能源指数收益率*90%+上证国债指数收益率*10%,L,股票型,契约型开放式,,20170707,20170707,O
8308,004746.OF,易方达上证50增强C,易方达基金,交通银行,股票型,20170606,,,,,,1.2,0.2,,1.0,,,上证50指数,L,增强指数型,契约型开放式,,20170606,20170606,O
8309,004156.OF,中信保诚至泰中短债C,中信保诚基金,中信银行,债券型,20170606,,,20170301,,0.2006,0.3,0.1,,1.0,0.01,,中债综合财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20170607,20170607,O
8310,004389.OF,大成惠明,大成基金,中国农业银行,债券型,20170606,,,20170303,,2.0003,0.3,0.1,,1.0,0.0001,,中债综合指数收益率,L,债券型,契约型开放式,,20181206,20181206,O
8311,004155.OF,中信保诚至泰中短债A,中信保诚基金,中信银行,债券型,20170606,,,20170301,,1.8518,0.3,0.1,,1.0,0.01,,中债综合财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20170607,20170607,O
8312,004505.OF,博时新兴消费主题A,博时基金,中国银行,混合型,20170605,,,20170321,,2.0736,1.5,0.25,,1.0,0.01,,沪深300指数收益率*70%+中国债券总指数收益率*30%,L,混合型,契约型开放式,,20170728,20170728,O
8313,003459.OF,嘉实稳宏C,嘉实基金,中国工商银行,债券型,20170602,,,20170227,,2.4334,0.8,0.15,,1.0,0.0001,,中债总全价指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20170714,20170714,O
8314,004744.OF,易方达创业板ETF联接C,易方达基金,中国工商银行,股票型,20170602,,,,,,0.5,0.1,,1.0,,,创业板指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170602,20170602,O
8315,003458.OF,嘉实稳宏A,嘉实基金,中国工商银行,债券型,20170602,,,20170227,,0.8596,0.8,0.15,,1.0,0.0001,,中债总全价指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20170714,20170714,O
8316,004743.OF,易方达上证中盘ETF联接C,易方达基金,中国工商银行,股票型,20170602,,,,,,0.5,0.1,,1.0,,,上证中盘指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170602,20170602,O
8317,004552.OF,中银证券瑞享C,中银证券,中国建设银行,混合型,20170602,20190705,,20170502,,0.0332,0.6,0.1,,1.0,0.001,,中债综合全价指数收益率*60%+沪深300指数收益率*40%,D,灵活配置型,契约型开放式,,20180604,20180604,O
8318,004351.OF,汇丰晋信珠三角区域,汇丰晋信基金,中国建设银行,混合型,20170602,,,20170427,,7.9887,1.5,0.25,,1.0,0.1,,中证珠三角沿海区域发展主题指数*70%+同业存款利率(税后)*30%,L,混合型,契约型开放式,,20170901,20170901,O
8319,004551.OF,中银证券瑞享A,中银证券,中国建设银行,混合型,20170602,20190705,,20170502,,3.5025,0.6,0.1,,1.0,0.001,,中债综合全价指数收益率*60%+沪深300指数收益率*40%,D,灵活配置型,契约型开放式,,20180604,20180604,O
8320,004587.OF,中金丰沃A,中金基金,平安银行,混合型,20170602,20181113,,20170424,,2.3381,1.5,0.1,,1.0,0.01,,中证800指数收益率*50%+中债综合指数收益率*50%,D,灵活配置型,契约型开放式,,20170703,20170703,O
8321,004588.OF,中金丰沃C,中金基金,平安银行,混合型,20170602,20181113,,20170424,,2.3381,1.5,0.1,,1.0,0.01,,中证800指数收益率*50%+中债综合指数收益率*50%,D,灵活配置型,契约型开放式,,20170703,20170703,O
8322,001856.OF,易方达环保主题,易方达基金,中国建设银行,混合型,20170602,,,20170502,,2.9602,1.5,0.25,,1.0,0.001,,中证环保产业指数收益率*65%+一年期人民币定期存款利率(税后)*35%,L,灵活配置型,契约型开放式,,20170620,20170620,O
8323,004742.OF,易方达深证100ETF联接C,易方达基金,中国银行,股票型,20170602,,,,,,0.5,0.1,,1.0,,,深证100价格指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170602,20170602,O
8324,004533.OF,民生加银中证港股通C,民生加银基金,中国建设银行,股票型,20170602,,,20170424,,6.0306,0.5,0.1,,1.0,0.01,,中证港股通高股息精选指数收益率(使用估值汇率折算)*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170620,20170620,O
8325,004427.OF,交银增利增强A,交银施罗德基金,中国建设银行,债券型,20170602,,,20170420,,1.4447,0.6,0.2,,1.0,0.001,,中债综合全价指数,L,债券型,契约型开放式,,20170613,20170613,O
8326,004586.OF,鹏扬汇利C,鹏扬基金,招商银行,债券型,20170602,,,20170508,,1.881,0.7,0.2,,1.0,0.1,,中债综合指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20170714,20170714,O
8327,004428.OF,交银增利增强C,交银施罗德基金,中国建设银行,债券型,20170602,,,20170420,,2.1983,0.6,0.2,,1.0,0.001,,中债综合全价指数,L,债券型,契约型开放式,,20170613,20170613,O
8328,004532.OF,民生加银中证港股通A,民生加银基金,中国建设银行,股票型,20170602,,,20170424,,0.4076,0.5,0.1,,1.0,0.01,,中证港股通高股息精选指数收益率(使用估值汇率折算)*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170620,20170620,O
8329,004585.OF,鹏扬汇利A,鹏扬基金,招商银行,债券型,20170602,,,20170508,,11.7919,0.7,0.2,,1.0,0.1,,中债综合指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20170714,20170714,O
8330,002319.OF,大成一带一路,大成基金,中国农业银行,混合型,20170602,,,20170424,,9.1717,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中证综合债券指数收益率*40%,L,灵活配置型,契约型开放式,,20170607,20170607,O
8331,004704.OF,平安惠元,平安基金,平安银行,债券型,20170601,20171227,,20170522,,2.8132,0.3,0.1,,1.0,0.001,,中债综合指数(总财富)收益率*90%+1年期定期存款利率(税后)*10%,D,债券型,契约型开放式,,20170605,20170605,O
